"","namen","zip","betreuungsart","bfs"
"1","Abteilung Bildung","3700","Ferienbetreuung",768
"2","Acceuil extra scolaire","2740","Ferienbetreuung",700
"3","Albatros Heimberg","3627","Kita",928
"4","APAJ ""Association Parents Accueil Journée""","2710","Tagesfamilie",713
"5","Atelier Pinocchio","2532","Kita",372
"6","Au petit Bonheur","2605","Kita",444
"7","Babydream Club","2503","Kita",371
"8","Balena","3098","Kita",355
"9","Buechespatze","3800","Kita",593
"10","Calma Kinderbetreuung","3150","Kita",855
"11","Centre de l'Enfance de Moutier","2740","Kita",700
"12","Children's Community GmbH","3600","Kita",942
"13","Chinderhus Alchenflüh","3422","Ferienbetreuung",412
"14","Chinderhus Alchenflüh","3422","Kita",412
"15","Chinderhus Brienz","3855","Kita",573
"16","Chinderhus Hindelbank","3324","Kita",409
"17","Chinderhus Hondrich","3702","Kita",768
"18","Chinderhus Tabaluga","3313","Kita",538
"19","Chinderhuus Gampelen","3236","Kita",495
"20","Chinderhuus Gampiross","3600","Kita",942
"21","Chinderhuus Ins","3232","Kita",496
"22","Chinderhuus Wohlen","3032","Kita",360
"23","Chinderland","3084","Kita",355
"24","Chinderstuba Grindelwald","3818","Kita",576
"25","Chindertroum Waldkita","3008","Kita",351
"26","Coccodrillo","3013","Kita",351
"27","Coxinelle","3097","Kita",355
"28","Crèche Au P'tit Château","2735","Kita",717
"29","Crèche Au P'tit Soleil","2605","Kita",444
"30","Crèche La Coccinelle","2738","Kita",690
"31","Crèche La Luciole","2515","Kita",726
"32","Crèche la Pelouse","2610","Kita",443
"33","Crèche Le P'tit Paradis","2603","Kita",450
"34","Crèche Le Tournesol","2732","Kita",703
"35","Crèche Les 4 Saisons","2710","Kita",713
"36","Crèche les hirondelles","2607","Kita",433
"37","Crèche Les Marmottes","2746","Kita",691
"38","Crèche Les Moussaillons","2608","Kita",434
"39","Crèche Les Razmokets","2615","Kita",445
"40","Crèche Memory","2502","Kita",371
"41","Crèche municipale Bidibule","2520","Kita",723
"42","Crèche Municipale de Reconvilier","2732","Kita",703
"43","Crèche Petit Prince","2503","Kita",371
"44","Crèche Teddy Bear Kita","2502","Kita",371
"45","Crèche-garderie Harmony","2502","Kita",371
"46","Dakawo Naturgruppe Fuchskinder","4704","Kita",981
"47","Diemtighuus Erläbnis Kita","3754","Kita",762
"48","DV Bern Notrecht - Testkita","3000","Kita",NA
"49","Ecole à journée continue Berne - ECLF","3015","Tagesschule",351
"50","Ecole à journée continue Corgémont","2606","Tagesschule",431
"51","Ecole à journée continue Courtelary-Cormoret-Villeret","2612","Tagesschule",432
"52","Ecole à journée continue du Syndicat scolaire du Bas de la Vallée","2735","Ferienbetreuung",717
"53","Ecole à journée continue Evilard","2533","Tagesschule",372
"54","Ecole à journée continue Grand-Val, Syndicat Scolaire","2745","Tagesschule",694
"55","Ecole à journée continue La Neuveville","2520","Tagesschule",723
"56","Ecole à journée continue Le Griffon","2610","Ferienbetreuung",443
"57","Ecole à journée continue Moutier Moutier site du Viaduc","2740","Tagesschule",700
"58","Ecole à journée continue Moutier Moutier site Fauvettes","2740","Tagesschule",700
"59","Ecole à journée continue Moutier Moutier site Foyer","2740","Tagesschule",700
"60","Ecole à journée continue Orvin","2534","Tagesschule",438
"61","Ecole à journée continue Péry-La Heutte","2603","Tagesschule",450
"62","Ecole à journée continue Plateau de Diesse Communauté scolaire","2516","Tagesschule",726
"63","Ecole à journée continue Reconvilier","2732","Tagesschule",703
"64","Ecole à journée continue Renan","2616","Tagesschule",441
"65","Ecole à journée continue Saint-Imier","2610","Tagesschule",443
"66","Ecole à journée continue Sonceboz-Sombeval","2605","Tagesschule",444
"67","Ecole à journée continue Tavannes","2710","Tagesschule",713
"68","Ecole à journée continue Tramelan","2720","Tagesschule",446
"69","Ecole à journée continue Valbirse Syndicat Scolaire de l'école secondaire du bas de la vallée","2735","Tagesschule",717
"70","Einwohnergemeinde Saanen","3792","Tagesfamilie",843
"71","EJC","","Kita",NA
"72","Familienforum Spiez - Tageselternvermittlung","3700","Tagesfamilie",768
"73","Ferien Welt","3400","Ferienbetreuung",404
"74","Ferienangebot SuE","3427","Ferienbetreuung",552
"75","Ferienbetreuung","3076","Ferienbetreuung",627
"76","Ferienbetreuung","4704","Ferienbetreuung",981
"77","Ferienbetreuung Aarberg","3270","Ferienbetreuung",301
"78","Ferienbetreuung Gemeinde Köniz","3098","Ferienbetreuung",355
"79","Ferienbetreuung Grosshöchstetten","3506","Ferienbetreuung",608
"80","Ferienbetreuung Ittigen","3063","Ferienbetreuung",362
"81","Ferienbetreuung Jegenstorf","3303","Ferienbetreuung",540
"82","Ferienbetreuung Konolfingen","3510","Ferienbetreuung",612
"83","Ferienbetreuung Moosseedorf","3302","Ferienbetreuung",544
"84","Ferienbetreuung Nidau","2560","Ferienbetreuung",743
"85","Ferienbetreuung Tagesschule Kirchberg","3422","Ferienbetreuung",412
"86","Ferienbetreuung Tagesschule Seftigen","3662","Ferienbetreuung",883
"87","Ferienbetreuung Tagesschule Steffisburg","3612","Ferienbetreuung",939
"88","Ferieninsel Bolligen","3065","Ferienbetreuung",352
"89","Ferieninsel profawo","3011","Ferienbetreuung",351
"90","Ferieninsel Thun","3604","Ferienbetreuung",942
"91","Ferieninseln Stadt Bern","3008","Ferienbetreuung",351
"92","Ferienpass","2502","Ferienbetreuung",371
"93","Ferienpass Belp und Toffen/ Ferienkolonie Belp","3123","Ferienbetreuung",861
"94","Ganztagesschule Bern Stöckacker","3018","Tagesschule",351
"95","Ganztagesschule Breitenrain-Lorraine (Spitalacker)","3013","Tagesschule",351
"96","Ganztagesschule Bümpliz","3018","Tagesschule",351
"97","Ganztagesschule Köniz-Wabern","3084","Tagesschule",355
"98","Ganztagesschule Wankdorf","3014","Tagesschule",351
"99","globegarden Parkterrasse","3012","Kita",351
"100","globegarden Thunstrasse","3006","Kita",351
"101","hagebutte","3012","Kita",351
"102","Himmelchen","2560","Kita",743
"103","Himmelchen 2","2560","Kita",743
"104","Hübeli Chrippe Schwadernau","2556","Kita",748
"105","Kassiopeia","3084","Kita",355
"106","KIBE Region Huttwil KiTA","4950","Kita",954
"107","KIBE Region Huttwil Tagesfamilien","4950","Tagesfamilie",954
"108","kids & co au Lac","2503","Kita",371
"109","kids & co Bözingen","2504","Kita",371
"110","kids & co Gümligen","3073","Kita",356
"111","kids & co Viktoriastrasse","3013","Kita",351
"112","kids & co Wabern","3084","Kita",355
"113","kids & co Wankdorf","3014","Kita",351
"114","Kinderbetreuung Waudchutz","3303","Kita",540
"115","Kinderhaus Bernische Stiftung Elfenau","3007","Kita",351
"116","Kinderhaus Ginkgo","3006","Kita",351
"117","Kinderhaus Langnau","3550","Kita",902
"118","Kinderhaus Stern im Ried","2502","Kita",371
"119","Kinderkrippe BALU","3292","Kita",306
"120","Kinderkrippe Windrose","4900","Kita",329
"121","Kinderort","3007","Kita",351
"122","Kindertagesstätte Chrötli","3315","Kita",533
"123","Kindertagesstätte Hummelinäscht","3072","Kita",363
"124","Kindertagesstätte kitaRo","4914","Kita",337
"125","Kindertagesstätte Laupen","3177","Kita",667
"126","Kindertagesstätte Ratatui","3110","Kita",616
"127","Kindertagesstätte Riggisberg","3132","Kita",879
"128","Kindertagesstätte Schnäggli Niederbipp","4704","Kita",981
"129","Kindertagesstätte Schnäggli Wiedlisbach","4537","Kita",995
"130","Kindertagesstätte Uhunäscht","3250","Kita",306
"131","Kinderwelt Jegenstorf","3303","Kita",540
"132","Kita 23","4922","Kita",342
"133","Kita 7","4900","Kita",329
"134","Kita Aare","3600","Kita",942
"135","Kita Aaregg","3004","Kita",351
"136","Kita Aarehüpfer","2560","Kita",743
"137","Kita ABC","3322","Kita",551
"138","Kita Alpenstrasse GmbH","3800","Kita",593
"139","Kita Alte Ziegelei","3250","Kita",306
"140","Kita Altenberg","3013","Kita",351
"141","KITA am Waldrand","2500","Kita",NA
"142","Kita Ämmehüpfer","3400","Kita",404
"143","Kita Ausserholligen","3008","Kita",351
"144","Kita Bachmätteli","3018","Kita",351
"145","Kita Balou Kirchenfeld","3005","Kita",351
"146","Kita Balou Muri b. Bern","3074","Kita",356
"147","Kita Balu","2543","Kita",387
"148","Kita Bärestübli","3270","Kita",301
"149","Kita Beerihuus","4914","Kita",337
"150","Kita Beundenweg/Crèche Oeuches","2503","Kita",371
"151","Kita Bim Bam Bini Belp","3213","Kita",2262
"152","Kita Bim Bam Bini Deisswil","3066","Kita",358
"153","Kita Bim Bam Bini Konolfingen","3510","Kita",612
"154","Kita Bim Bam Bini Uettligen","3043","Kita",360
"155","Kita Bitzius","3006","Kita",351
"156","Kita Breitenrain","3014","Kita",351
"157","Kita Breitsch","3014","Kita",351
"158","Kita Brünnen","3027","Kita",351
"159","Kita Brünnengut","3027","Kita",351
"160","Kita Bubenberg","2502","Kita",371
"161","Kita Bucher Areal","3400","Kita",404
"162","Kita Bümpliz","3018","Kita",351
"163","Kita Burehof GmbH","3065","Kita",352
"164","Kita Burgdorf","3400","Kita",404
"165","Kita Burgergut","3613","Kita",939
"166","Kita burgunder","3018","Kita",351
"167","Kita Butzus GmbH","3065","Kita",352
"168","Kita Casa Musa","3012","Kita",351
"169","Kita Casa Papaya","3012","Kita",351
"170","Kita Casa tutti frutti","3012","Kita",351
"171","Kita Chalet Pfeid","2555","Kita",733
"172","Kita Chutz - Chinderhus Utzenstorf","3427","Kita",552
"173","Kita Colorin","3013","Kita",351
"174","Kita crescendo","3008","Kita",351
"175","Kita Dählhölzli","3005","Kita",351
"176","Kita Dängelibänz","3012","Kita",351
"177","Kita Eichgüetli","3626","Kita",929
"178","Kita eigerplatz","3007","Kita",351
"179","Kita Erlach","3235","Kita",492
"180","Kita Fairy","2502","Kita",371
"181","Kita falkennest","3012","Kita",351
"182","Kita Fantasia","3018","Kita",351
"183","Kita Farfallina","3007","Kita",351
"184","Kita Feusi Bildungszentrum AG","3073","Kita",356
"185","Kita Firlifanz","3013","Kita",351
"186","Kita futura","3097","Kita",355
"187","Kita Gals","3238","Kita",494
"188","KITA Glütschbach","3634","Kita",941
"189","Kita grasburg","3150","Kita",855
"190","Kita Grendolin Münsingen","3110","Kita",616
"191","Kita Grendolin Worb","3076","Kita",627
"192","Kita Grisu","3202","Kita",663
"193","Kita Gstaad","3780","Kita",843
"194","Kita Gurit","3063","Kita",362
"195","Kita Gwundernase","3013","Kita",351
"196","Kita Gwundernäsli","3067","Kita",359
"197","KiTa Happy Bellmund","2564","Kita",732
"198","KiTa Happy Nidau","2560","Kita",743
"199","KiTa Happy Seedorf","3267","Kita",312
"200","KiTa Happy Worben","3252","Kita",755
"201","Kita Hasebou","3415","Kita",406
"202","Kita Haslital","3860","Kita",785
"203","Kita Himugüegeli","3006","Kita",351
"204","Kita Hohmadpark","3600","Kita",942
"205","Kita Holenacker","3027","Kita",351
"206","Kita Iisbär","3296","Kita",381
"207","Kita im Favorite","3012","Kita",351
"208","KiTa im Park","3097","Kita",355
"209","KiTa Inselspital","3010","Kita",351
"210","Kita Jamballa","3074","Kita",356
"211","Kita Jardin du Paradis","2502","Kita",371
"212","Kita Juno","3294","Kita",383
"213","Kita Karfunkel","3860","Kita",785
"214","Kita Karussell","3303","Kita",540
"215","Kita Kinderhut","3360","Kita",979
"216","Kita Kinderhut Bützberg","4922","Kita",342
"217","Kita Kinderhut Wangen an der Aare","3380","Kita",992
"218","Kita Kinderpunkt Kiesen","3629","Kita",611
"219","Kita Kinderwelt Kirchberg","3422","Kita",412
"220","Kita Kinderzimmer GmbH","3714","Kita",563
"221","Kita Kirchenfeld","3005","Kita",351
"222","Kita Kiwi","3063","Kita",362
"223","Kita Krokofant","3014","Kita",351
"224","Kita Kunterbunt","3073","Kita",356
"225","Kita Kunterbunt Matten","3800","Kita",593
"226","Kita Länggasse","3012","Kita",351
"227","Kita làpurzel","3005","Kita",351
"228","Kita Lindenhof","3012","Kita",351
"229","Kita Lindenweg","3072","Kita",363
"230","Kita Lorraine","3013","Kita",351
"231","Kita Lorymatte","3110","Kita",616
"232","Kita Loryplatz","3007","Kita",351
"233","Kita Luna","2542","Kita",392
"234","Kita Makena","2563","Kita",739
"235","Kita Matahari Kirchenfeld","3005","Kita",351
"236","Kita Matahari Weissenbühl","3007","Kita",351
"237","Kita Matte","3011","Kita",351
"238","Kita Merlin Breitenacker","3122","Kita",870
"239","Kita Merlin Kehrsatz","3122","Kita",870
"240","Kita Mett/Crèche Mâche","2504","Kita",371
"241","Kita Miabiala","3006","Kita",351
"242","Kita Mikado","3007","Kita",351
"243","Kita Minouche","2504","Kita",371
"244","Kita morillon","3007","Kita",351
"245","Kita Moskito","3302","Kita",544
"246","Kita Murifeld Mindstrasse","3006","Kita",351
"247","Kita Murifeld Weltpost","3015","Kita",351
"248","Kita murtenstrasse","3008","Kita",351
"249","Kita Müsliburg","3098","Kita",355
"250","Kita Mutzli","3075","Kita",627
"251","KiTa Nanuq Meikirch","3145","Kita",355
"252","Kita Nemo","2575","Kita",751
"253","Kita Nestwärme","2557","Kita",749
"254","Kita Nimmerland","1797","Kita",669
"255","Kita Oberbipp GmbH","4538","Kita",983
"256","KiTa Obersimmental GmbH","3770","Kita",794
"257","Kita Orpund","2552","Kita",744
"258","Kita Ostermundigen","3072","Kita",363
"259","Kita Ottilotti","3005","Kita",351
"260","Kita Papillon","3172","Kita",355
"261","Kita Pepe","3296","Kita",381
"262","Kita piccolino","3012","Kita",351
"263","Kita Piccolo","3172","Kita",355
"264","Kita Pinocchio","3225","Kita",498
"265","Kita Ponticello","2503","Kita",371
"266","Kita pop e poppa forsthaus","3012","Kita",351
"267","Kita pop e poppa oberfeld","3072","Kita",363
"268","Kita pop e poppa ostermundigen","3072","Kita",363
"269","Kita pop e poppa schlossburg","3600","Kita",942
"270","Kita publica","3008","Kita",351
"271","Kita Rappard","3008","Kita",351
"272","Kita Röseligarte","3004","Kita",351
"273","Kita rosenweg","3007","Kita",351
"274","Kita Saanen","3780","Kita",843
"275","Kita sandburg","3012","Kita",351
"276","Kita Schloss Stern","3400","Kita",404
"277","Kita Schnäggehüsli","3550","Kita",902
"278","Kita Schorenhof","3645","Kita",942
"279","Kita Schtärne","3506","Kita",608
"280","Kita Schüpfen","3054","Kita",311
"281","Kita Seestärn","3600","Kita",942
"282","Kita Seftigen","3662","Kita",883
"283","Kita Selve Areal","3600","Kita",942
"284","Kita Siloah","3073","Kita",356
"285","Kita SmallWorld","3011","Kita",351
"286","Kita SMS","3174","Kita",355
"287","KITA Spiez","3700","Kita",768
"288","Kita Spitalacker","3013","Kita",351
"289","Kita Spittel","3011","Kita",351
"290","Kita Stärneschloss Aarberg","3270","Kita",301
"291","Kita Stärnschnuppe","3047","Kita",353
"292","KiTa stärntaler","3098","Kita",355
"293","Kita Steckgut","3014","Kita",351
"294","Kita steinhölzli","3097","Kita",355
"295","Kita Sterntaler","3072","Kita",363
"296","Kita Stettlen","3066","Kita",358
"297","Kita Stöckacker","3018","Kita",351
"298","Kita Stockfeld","2558","Kita",731
"299","Kita Storchennest","3257","Kita",303
"300","Kita Sumis","3454","Kita",957
"301","Kita Sunneschyn","3053","Kita",546
"302","Kita Sunnestrahl Koppigen","3425","Kita",413
"303","Kita Sunnestrahl Oberburg","3414","Kita",418
"304","Kita Sunnestube","3800","Kita",593
"305","Kita Swisscolino","3048","Kita",362
"306","Kita Tabaluga","3084","Kita",355
"307","Kita Taka Tuka","3012","Kita",351
"308","Kita Talgutzentrum","3063","Kita",362
"309","KiTa Tazli","3322","Kita",551
"310","Kita Tevilino/Tevilino Wydacker","3063","Kita",362
"311","Kita Thun","3600","Kita",942
"312","Kita Tiefenau","3004","Kita",351
"313","Kita Tigerente","3612","Kita",939
"314","Kita Tscharnergut","3027","Kita",351
"315","Kita Tubehüsli","3123","Kita",861
"316","Kita Tüscherz","2512","Kita",756
"317","Kita TuttiFrutti","2502","Kita",371
"318","Kita Villa","3176","Kita",670
"319","Kita Villa la Vida","3110","Kita",616
"320","Kita Wasen","3457","Kita",957
"321","Kita weissenbühl","3007","Kita",351
"322","Kita Weissenstein","3007","Kita",351
"323","Kita Wichtelwelt","3604","Kita",942
"324","Kita Wimmis","3752","Kita",769
"325","Kita Wirbelwind","3018","Kita",351
"326","Kita Wirbelwind, Kibez Zollikofen","3052","Kita",361
"327","Kita Wombat Bremgarten","3047","Kita",353
"328","Kita Wombat Buchserstrasse","3006","Kita",351
"329","Kita Wombat Zieglerstrasse","3007","Kita",351
"330","Kita Wundertüte","3013","Kita",351
"331","Kita Wyler","3014","Kita",351
"332","Kita Wyleregg","3014","Kita",351
"333","Kita Yeladim","3007","Kita",351
"334","Kita Zazabu","3006","Kita",351
"335","Kita Zukunft/Crèche Avenir","2503","Kita",371
"336","Kita Zwärgeburg","3072","Kita",363
"337","Kita Zwärgehuus Aarberg","3270","Kita",301
"338","Kita Zwärgenäscht","2562","Kita",745
"339","KiTa zwirbu","3098","Kita",355
"340","Kita/Crèche Rochette","2504","Kita",371
"341","Kita/Crèche Soleil","2504","Kita",371
"342","Kitalina","3600","Kita",942
"343","KITAMU GmbH","4912","Kita",321
"344","L'enfantaisie - crèche-garderie francophone","2502","Kita",371
"345","Läbihus","3053","Kita",546
"346","Le Château des enfants","2710","Ferienbetreuung",713
"347","leolea, Tageseltern Kanton Bern","3004","Tagesfamilie",351
"348","leolea, Tageseltern Stadt Bern","3005","Tagesfamilie",351
"349","Les Gardénias","3015","Kita",351
