"","bfsid","gmdename","kantone","grossregionen","sprachregionen","stadt_land","bev_total","bev_1014","bev_dichte","bev_ausl","alter_0_19","alter_20_64","alter_65_plus","bevbew_heirat","bevbew_scheidung","bevbew_geburt","bevbew_sterbe","hh_anz","hh_groesse","flaeche_km","flaeche_sied","flaeche_sied_ver","flaeche_land","flaeche_land_ver","flaeche_wald","flaeche_unprod","wirt_besch_total","wirt_besch_prim","wirt_besch_sek","wirt_besch_tert","wirt_arbst","wirt_arbst_prim","wirt_arbst_sek","wirt_arbst_tert","bau_leer","bau_neu","sozsich_sh","polit_fdp","polit_cvp","polit_sp","polit_svp","polit_evp","polit_glp","polit_bdp","polit_pda","polit_gps","polit_klre","polit_ubrige","strafen_stgb","strafen_betmg","strafen_aug","lowClass","midClass","highClass","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka"
"1",1,"Aeugst am Albis","ZH","Zürich","deutsch","Agglo",1959,7.401316,247.6611883692,13.2720775906,21.4905564063,62.5829504849,15.9264931087,4.578987535,1.5263291783,9.6667514627,7.6316458916,796,2.4434673367,7.87,12.579416,21,51.33418,-22,30.876747,5.209657,428,37,15,376,142,15,12,115,2.0547945205,0,0.5578093306,"18.691659999","2.0764277822","18.645940488","30.929249057","3.4670629024","8.4352497428","2.6174419934",0.167638,"7.0750942965","4.8881776965","3.006058",35.4969574037,3.5496957404,0,14.1935483870968,30.2304147465438,55.5760368663594,1212,4.399,3630,511,0.835,80614,56050,0.542,57318.9296875,45814.2890625,0.501333177089691,89388,63600,0.527,62617.5234375,51833.3359375,0.474778473377228
"2",2,"Affoltern am Albis","ZH","Zürich","deutsch","Agglo",11552,4.156523,1090.8404154863,26.7399584488,20.1783240997,62.9501385042,16.8715373961,5.1494654157,2.6183722453,10.8226052804,6.1095352389,4862,2.3274372686,10.6,30.754717,94,40.09434,-93,28.207547,0.943396,6160,54,1237,4869,910,25,127,758,0.8216176739,14.5208131655,2.8865616475,"14.226623564","4.5853867581","19.080314139","33.785785487","5.4648270465","7.3578595318","4.1642988234",0.190049,"6.211047037","1.7681966816","3.165612",63.9795828566,10.1205667517,4.5762562704,14.0033197525275,41.376188320507,44.6204919269654,7176,10.422,1452,226,0.829,56125,45750,0.46,43121.73046875,37919.046875,0.430257976055145,63885,51700,0.444,47969.578125,43027.77734375,0.397644490003586
"3",3,"Bonstetten","ZH","Zürich","deutsch","Agglo",5287,2.481101,711.5746971736,14.1100813316,24.5129563079,61.3769623605,14.1100813316,5.4991940836,2.2755285863,14.2220536645,3.9821750261,2203,2.3931003177,7.45,15.57047,24,55.436242,-21,28.590604,0.402685,924,42,133,749,270,14,29,227,0.637213254,3.6121673004,0.6463878327,"16.472635622","3.3785405665","20.403264522","29.100156025","3.1430028805","11.862397984","3.8031084974",0.112518,"6.6610657705","1.915806529","3.147504",26.8060836502,2.0912547529,0.5703422053,10.0956429330499,32.731137088204,57.173219978746,3021,6.977,2310,564,0.778,73046,60700,0.442,53230.80859375,47400,0.412248641252518,82712,69300,0.43,58923.94140625,54100,0.383221566677094
"4",4,"Hausen am Albis","ZH","Zürich","deutsch","ländlich",3467,3.184524,254.9264705882,13.6429189501,22.8151139314,60.3691952697,16.815690799,3.1893302406,2.6094520151,9.5679907219,4.9289649174,1418,2.4160789845,13.68,12.646199,33,55.774854,-31,29.020468,2.55848,946,108,135,703,256,41,34,181,0.9445843829,13.9900903527,1.0492567765,"12.793652209","2.8819150359","19.393304507","34.937369055","2.5698747381","8.7482726341","4.6560870147",0.193911,"8.0216645121","1.825435742","3.978514",21.5680559604,5.8292043136,2.3316817254,12.4269782262347,34.8911311736591,52.6818906001062,2080,4.792,2304,355,0.822,67618,51300,0.493,49363.51953125,41061.109375,0.457376956939697,76554,57250,0.478,54760.19140625,47276.19140625,0.428310006856918
"5",5,"Hedingen","ZH","Zürich","deutsch","Agglo",3651,7.067449,559.1117917305,14.7904683648,22.514379622,63.4072856752,14.0783347028,3.0361578802,3.0361578802,8.5564449351,4.6922439967,1499,2.4249499666,6.53,19.908116,44,46.248086,-43,33.23124,0.612557,1485,34,763,688,196,12,25,159,1.6393442623,18.6369958275,0.9457579972,"15.80582681","3.9181664111","22.478008232","30.114599306","3.5892986845","9.6259381809","3.7688644984",0.227988,"6.4663868937","1.8400451941","2.164878",21.9749652295,2.5034770515,0,12.1695760598504,33.216957605985,54.6134663341646,2148,5.697,2652,481,0.819,73258,55700,0.481,52805.046875,44400,0.440002083778381,82623,63950,0.469,58367.88671875,50976.19140625,0.412836998701096
"6",6,"Kappel am Albis","ZH","Zürich","deutsch","ländlich",1014,10.457516,128.0303030303,13.5108481262,25.1479289941,60.5522682446,14.2998027613,2.0304568528,4.0609137056,7.1065989848,8.1218274112,414,2.4347826087,7.83,8.301405,12,69.987229,-12,20.561941,1.149425,347,55,83,209,96,22,21,53,7.7605321508,14.6443514644,0.4184100418,"10.9525418","2.7444688397","10.285424759","48.615098801","6.6036142543","5.6240499916","5.1342678602",0.312447,"4.382705624","2.7698023982","2.575578",31.3807531381,6.2761506276,0,12.8158844765343,38.086642599278,49.0974729241877,613,1.687,2751,350,0.853,71051,50100,0.519,50281.21484375,40400,0.461906313896179,79774,55400,0.504,55489.0703125,45700,0.434626042842865
"7",7,"Knonau","ZH","Zürich","deutsch","Agglo",2037,13.166667,314.8377125193,16.2493863525,23.0240549828,61.8065783014,15.1693667158,3.9564787339,1.978239367,9.3966369931,5.4401582591,813,2.4956949569,6.51,17.97235,19,62.211982,-21,17.204301,2.611367,497,66,103,328,123,26,17,80,0.4459308807,1.4947683109,0.6477329347,"11.456580276","3.1260518344","18.436553349","32.876135981","6.1679569169","10.421575227","5.9449680242",0.008415,"5.8019185459","3.4373948166","2.32245",34.8779272546,3.9860488291,0,13.5879218472469,34.9023090586146,51.5097690941385,1274,2.232,1752,370,0.793,62590,52500,0.468,45014.73828125,40103.5703125,0.429778307676315,71408,59350,0.459,50288.80859375,47269.046875,0.403673738241196
"8",8,"Maschwanden","ZH","Zürich","deutsch","ländlich",665,7.954545,141.7910447761,13.984962406,23.9097744361,60.4511278195,15.6390977444,6.0195635816,1.5048908954,9.0293453725,6.0195635816,267,2.4831460674,4.68,8.974359,-5,59.615385,0,23.717949,7.692308,148,50,43,55,58,20,7,31,1.6722408027,1.5060240964,0,"4.8901371221","3.5023955064","22.732529324","43.383446225","3.7336857756","4.857095655","3.4528333058",0.644309,"5.1709895919","2.1146538906","5.517925",12.0481927711,0,0,15.1670951156812,36.7609254498715,48.0719794344473,417,0.565,1356,221,0.806,56577,48000,0.463,42739.046875,37900,0.442203253507614,65246,54500,0.449,47967.640625,43944.4453125,0.407927632331848
"9",9,"Mettmenstetten","ZH","Zürich","deutsch","Agglo",4473,5.420693,343.2847275518,14.0845070423,22.1327967807,62.150681869,15.7165213503,6.7446043165,1.7985611511,10.5665467626,5.1708633094,1796,2.4498886414,13.05,15.938697,65,64.214559,-70,18.62069,1.226054,1522,152,588,782,295,47,54,194,1.2024048096,3.1652724395,1.2208907981,"13.184717459","3.6491554216","18.80028206","35.671015097","3.4680598737","9.6205006571","4.3527036123",0.133017,"5.0594570339","3.5690246482","2.492067",40.2441781596,4.2957268822,0,10.442407333599,37.4252690314866,52.1323236349143,2721,6.539,2403,397,0.827,70107,54000,0.481,51635.109375,43100,0.448447912931442,78771,60900,0.468,56864.74609375,48800,0.420525878667831
"10",10,"Obfelden","ZH","Zürich","deutsch","Agglo",4927,5.142979,653.4482758621,18.9364724985,23.2392936878,61.0919423584,15.6687639537,4.0841331427,2.0420665714,10.414539514,4.6967531142,1998,2.450950951,7.55,24.238411,44,49.271523,-44,21.324503,5.165563,1189,65,336,788,305,20,69,216,0.7494145199,4.7257037189,2.1162934046,"14.413031821","6.488175582","16.922138195","36.174028808","4.7926335447","7.3886433815","4.3581162288",0.086903,"3.7054157499","2.9824528965","2.68846",31.6416683789,1.6437230327,1.0273268954,12.1611445783133,36.4081325301205,51.4307228915663,2868,4.184,1459,271,0.796,59460,49100,0.446,43638.71484375,39200,0.415779173374176,68636,56850,0.433,49110.703125,44766.6640625,0.383961141109467
